Entiteit/Attribuut,Entiteitcode,Attribuutcode,Formaat,Datatype,Codelijst,Naam,Omschrijving;
E,RI,1,,,,,ACCEPTATIEVRAGEN,Acceptatievragen zijn vragen die in het kader van het sluiten van een contract éénmalig aan de potentiele contractant gesteld dienen te worden. Deze vragen zijn na het sluiten van het contra;
A,RI,1,ENTITE,IAN..2,,ADNENT,Entiteitscode,De unieke identificatie van een entiteit.;
A,RI,1,VRWRKC,DAN1,,ADNVRC,Verwerkingscode entiteit,Geeft aan hoe de entiteit te verwerken.;
"A,RI,1,VOLGNU,MN..3,,,Volgnummer,""Indien de entiteit herhalend voorkomt, dan maakt de combinatie entiteitscode + volgnummer de entiteit uniek. Verplicht vullen met '1' indien niet meer dan éénmaal dezelfde entiteit voorkomt.""";
"A,RI,1,VERBLV,AN1,JN,ADNLOG,Verblijfsvergunning J/N,""Indien een verblijfsvergunning van toepassing is, dan graag een kopie hiervan opsturen.""";
A,RI,1,VRZBEW,AN1,JN,ADNLOG,Tot vertrek naar NL verzekerd J/N,Indien van toepassing dan graag een schriftelijk bewijs opsturen.;
A,RI,1,VERBL1,2AN1,JN,ADNLOG,Korter dan 12 mnd in Nederland J/N,Is het verblijf in Nederland korter dan 12 maanden?;
A,RI,1,INBSTN,DAN1,JN,ADNLOG,Ingeschreven bij burgerl. stand J/N,Ingeschreven bij de Nederlandse burgerlijke stand?;
A,RI,1,AANTVR,ZN..15,A0,,Aantal lopende polissen bij deze VM,Het aantal lopende polissen bij deze verzekeringsmaatschappij.;
A,RI,1,PAKKET,AN1,JN,ADNLOG,Heeft verz.nemer een pakketverz. J/N,Heeft de verzekeringnemer een pakketverzekering bij deze maatschappij?;
A,RI,1,PAKNG,AN1,JN,ADNLOG,Gelijktijdig pakketverz.gesloten J/N,Is er of wordt er gelijktijdig een pakketverzekering gesloten?;
A,RI,1,CNUMPA,KAN..20,,,Polisnummer pakketverzekering,Polisnummer pakketverzekering.;
A,RI,1,LPVMY,AN1,JN,ADNLOG,Loopt verz. uit pakket bij mij. J/N,Heeft u één van de verzekeringen die u wilt opnemen in het pakket reeds bij de maatschappij gesloten?;
"A,RI,1,LPVNRS,AN..70,,,""Polisnummers opnemen in pakket, oms."",""Indien u deze verzekering(en) in het pakket wilt opnemen, graag polisnummer(s) vermelden.""";
A,RI,1,RPAVZ,AN1,JN,ADNLOG,Reeds personenauto verzekerd J/N,Is reeds een personenauto verzekerd bij deze maatschappij waarvan het kenteken op naam staat van de verzekeringnemer of diens partner?;
A,RI,1,RPAVZT,AN..70,,,Toel. reeds personenauto verzekerd,Toelichting op de vraag of reeds een personenauto verzekerd is.;
A,RI,1,CNUMPA,AN..20,,,Polisnr. lopende personenautoverz.,Polisnummer van de lopende personenautoverzekering.;
A,RI,1,AANTS2,N..15,A0,,Aant.schaden lopende pers.auto verz.,Aantal schaden reeds lopende personenauto verzekering.;
A,RI,1,AANSPV,ZAN1,JN,ADNLOG,Reeds aanspr.verzek. gesloten J/N,Heeft u reeds een aansprakelijkheidsverzekering gesloten?;
A,RI,1,MILIEV,ZAN1,JN,ADNLOG,Reeds milieu aanspr.vz. gesloten J/N,Heeft u reeds een milieu aansprakelijkheidsverzekering gesloten?;
A,RI,1,TNTVZG,WAN1,JN,ADNLOG,Tot nu toe verzekerd geweest J/N,Zijn de te verzekeren personen tot nu toe verzekerd geweest?;
"A,RI,1,ONVZDA,TN8,D1,,Onverzekerd vanaf welke datum,""Indien de te verzekeren personen onverzekerd waren, vanaf wanneer is dat het geval?""";
"A,RI,1,REDONV,ZAN..70,,,""Reden onverzekerd, omschrijving"",""Indien de te verzekeren personen onverzekerd waren, wat was daarvan de reden?""";
